84																																				
41	Mosin-Nagant	3	0	19	109	40	-1	119	-1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
42	PPSh41G	3	0	19	109	40	-1	101	-1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0
43	STV40	3	0	19	109	40	-1	100	-1	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
44	Mosin Molotov	3	0	19	109	40	-1	119	104	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
45	Vcle Crew Ldr Sten	0	0	19	109	40	-1	-1	5	-1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	Vehicle Crew G MP	0	0	19	109	40	-1	-1	7	-1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	MP40/Heft	3	0	19	109	40	-1	7	94	1	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0
48	Leader MP40	3	0	19	109	40	-1	7	43	1	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0
49	Leader Sten Mk II	3	0	19	109	40	-1	5	51	1	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0
50	Leader Thompson	3	0	19	109	40	-1	70	13	1	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0
51	German Sniper	3	0	58	70	40	-1	42	-1	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
52	4.2 Mortar	3	0	45	83	40	88	-1	51	1	0	0	25	0	10	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0
53	12cm Mortar	3	0	45	83	40	-1	-1	43	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0
54	Ldr Para Sten Mk V	3	0	19	109	40	-1	69	13	1	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0
55	Para Sten Mk V	3	0	19	109	40	-1	69	-1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
56	Lee Enfield/82 Gam	3	0	19	109	40	-1	72	6	1	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
57	Leader Mauser	3	0	19	109	40	-1	136	43	1	0	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	0	0	0	0
58	Mauser/Grenades	3	0	19	109	40	-1	136	-1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0
59	Mauser/GrenB	3	0	19	109	40	-1	136	103	1	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0
60	Mauser/Expl.	3	0	19	109	40	-1	136	41	1	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
61	Mauser/Fpatr.	3	0	19	109	40	-1	136	79	1	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
62	Mosin /GrenB	3	0	19	109	40	-1	119	103	1	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
63	MP40/Grenades	3	0	19	109	40	-1	7	-1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0
64	MP40/GrenB	3	0	19	109	40	-1	7	103	1	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0
65	MP40/Fpatr.	3	0	19	109	40	-1	7	79	1	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
66	G242 (f)/GrenB	3	0	19	109	40	-1	55	103	1	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0
67	Gewehr242 (f)	3	0	19	109	40	-1	55	-1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
68	leMG 120(r)	3	0	19	109	40	89	-1	-1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
69	MAS38/Grenades	3	0	19	109	40	-1	77	-1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0
70	PzB39-Gewgr60	3	0	19	109	40	80	-1	-1	1	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
71	P38/HHL	3	0	19	109	40	-1	43	94	1	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	2	0	4	0	0	0	0	0	0
72	P38/GrenB	3	0	19	109	40	-1	43	103	1	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	4	0	0	0	0	0	0
73	P38/Grenades	3	0	19	109	40	-1	43	-1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0
74	5cm Mortar	3	0	19	109	40	102	7	-1	1	0	0	20	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
75	8cm Mortar (Ost)	3	0	19	109	40	20	-1	-1	1	0	0	22	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
76	Mauser-Rgren Res	3	0	19	109	40	-1	64	136	1	0	0	0	0	0	0	0	2	2	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0
77	Mauser-Rgren AT	3	0	19	109	40	-1	136	64	1	0	0	0	0	0	0	12	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0
78	Scoped MN	3	0	19	109	40	-1	30	-1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0
79	MAS38 	3	0	19	109	40	-1	77	-1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
80	AB 2 inch Mortar	3	0	19	109	40	14	69	-1	1	0	0	9	0	12	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
81	Vickers K-Gun	3	0	19	109	40	53	-1	13	1	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0
82	Vcle Cr G HT MP	0	0	19	109	40	-1	-1	7	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83	Vcle Cr G HT R	0	0	19	109	40	-1	-1	136	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0
